Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,4,2,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Yves Bissouma, MLI,MF,Tottenham,25,1996,3,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Blaswich, GER,GK,RB Leipzig,31,1991,6,5,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daley Blind, NED,DF,Ajax,32,1990,5,5,407,4.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,33,13,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07
Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,3,0,39,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,6,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82
Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Valerii Bondar, UKR,DF,Shakhtar,23,1999,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,6,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Artem Bondarenko, UKR,MF,Shakhtar,21,2000,6,6,484,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,7,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Leonardo Bonucci, ITA,DF,Juventus,35,1987,6,5,444,4.9,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,0,20,0,0.2,0.0,0.2,0.2,0.2,0.16,0.0,0.16,0.16,0.16
Gonçalo Borges, POR,"MF,FW",Porto,21,2001,4,0,39,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,8,1,7,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
