Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Sardar Azmoun,IRN,FW,Leverkusen,27,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
César Azpilicueta,ESP,DF,Chelsea,32,1989,2.9,288,257,31,13,0,0,4,18,0,0,0,0,256,0,2
Youri Baas,NED,DF,Ajax,19,2003,0.5,27,25,2,0,1,0,0,2,0,0,0,0,23,0,0
Alexander Bah,DEN,DF,Benfica,24,1997,7.3,532,454,75,6,1,3,23,69,0,0,0,0,420,3,9
Eric Bailly,CIV,DF,Marseille,28,1994,3.4,203,192,8,7,0,0,0,1,0,0,0,0,174,3,0
Stefan Bajcetic,ESP,MF,Liverpool,17,2004,1.2,76,76,0,0,0,2,0,0,0,0,0,0,60,0,2
Mitchel Bakker,NED,"MF,DF",Leverkusen,22,2000,3.8,211,194,17,1,0,2,6,16,0,0,0,0,171,0,4
Alejandro Balde,ESP,DF,Barcelona,18,2003,1.9,138,116,21,2,0,0,9,19,0,0,0,0,120,1,4
Leonardo Balerdi,ARG,DF,Marseille,23,1999,5.5,370,358,8,8,0,2,1,0,0,0,0,0,322,4,2
Fodé Ballo-Touré,SEN,"DF,MF",Milan,25,1997,1.5,72,60,12,2,0,0,3,10,0,0,0,0,60,0,3
Tommaso Barbieri,ITA,MF,Juventus,19,2002,0,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
Roony Bardghji,SWE,FW,FC Copenhagen,16,2005,1.1,24,22,2,1,0,1,1,0,1,1,0,0,15,0,0
Nicolò Barella,ITA,MF,Inter,25,1997,11,407,397,9,5,2,8,21,3,1,0,1,0,322,1,15
Borna Barišić,CRO,DF,Rangers,29,1992,5.2,268,218,50,13,0,0,27,31,6,1,5,0,221,0,4
Enzo Barrenechea,ARG,DF,Juventus,21,2001,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,19,2003,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Calvin Bassey,NGA,DF,Ajax,22,1999,6,434,410,24,9,0,5,1,6,0,0,0,0,387,0,1
Fortune Bassey,NGA,FW,Viktoria Plzeň,23,1998,1.5,27,25,2,0,0,0,0,0,0,0,0,0,22,0,0
Alessandro Bastoni,ITA,DF,Inter,23,1999,10.9,609,547,60,30,1,17,22,17,0,0,0,0,506,2,6
Dylan Batubinsika,COD,DF,Maccabi Haifa,26,1996,5,198,189,9,9,0,1,0,0,0,0,0,0,174,0,2
Martin Baturina,CRO,MF,Dinamo Zagreb,19,2003,0.7,37,35,1,1,0,0,1,0,0,0,0,0,29,1,3
Raoul Bellanova,ITA,"DF,MF",Inter,22,2000,1.3,58,45,12,0,0,1,11,12,0,0,0,0,39,1,6
Héctor Bellerín,ESP,DF,Barcelona,27,1995,2,98,79,18,1,0,1,5,17,0,0,0,0,79,1,4
