Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,1.1,1,1,1,100.0,0.95,0.95,1.0,1.0,14.9,0,0,0,0.4,0.4,0.39,0.6,0.6,Matches
Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,3,7,3,42.9,3.35,1.44,0.43,1.0,13.5,0,0,0,1.3,1.3,0.18,1.7,1.7,Matches
Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,0.2,0,1,0,0.0,5.29,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,4.3,2,9,4,44.4,2.1,0.93,0.22,0.5,18.9,1,0,0,0.5,0.5,0.06,1.5,1.5,Matches
Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Kostas Tsimikas, GRE,DF,Liverpool,26,1996,3.8,0,3,0,0.0,0.79,0.0,0.0,,17.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
David Turnbull, SCO,MF,Celtic,23,1999,1.1,0,3,1,33.3,2.62,0.87,0.0,0.0,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Tuta, BRA,DF,Eint Frankfurt,23,1999,6.7,0,2,1,50.0,0.3,0.15,0.0,0.0,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,5.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,4.2,0,2,0,0.0,0.48,0.0,0.0,,16.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Cengiz Ünder, TUR,MF,Marseille,25,1997,1.9,0,6,1,16.7,3.12,0.52,0.0,0.0,20.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Mateus Uribe, COL,MF,Porto,31,1991,6.8,1,9,2,22.2,1.33,0.3,0.0,0.0,27.1,0,1,1,1.4,0.6,0.06,-0.4,-0.6,Matches
Enrique Valiente, ESP,DF,Sevilla,20,2002,2.0,0,1,0,0.0,0.5,0.0,0.0,,9.0,0,0,0,0.0,0.0,0.04,0.0,0,Matches
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,2,24,8,33.3,2.23,0.74,0.08,0.25,22.3,1,0,0,1.7,1.7,0.07,0.3,0.3,Matches
Virgil van Dijk, NED,DF,Liverpool,31,1991,8.0,0,12,5,41.7,1.5,0.62,0.0,0.0,10.5,0,0,0,1.0,1.0,0.09,-1.0,-1,Matches
Hans Vanaken, BEL,MF,Club Brugge,29,1992,7.8,0,4,0,0.0,0.51,0.0,0.0,,17.7,1,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4.0,0,3,2,66.7,0.75,0.5,0.0,0.0,22.9,2,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Jordan Veretout, FRA,MF,Marseille,29,1993,5.4,0,3,2,66.7,0.56,0.37,0.0,0.0,23.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Lucas Veríssimo, BRA,DF,Benfica,27,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Gabriel Veron, BRA,"MF,FW",Porto,19,2002,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,0,2,0,0.0,0.29,0.0,0.0,,25.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Vitinha, POR,MF,Paris S-G,22,2000,6.5,0,5,2,40.0,0.77,0.31,0.0,0.0,22.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Dušan Vlahović, SRB,FW,Juventus,22,2000,4.6,1,15,7,46.7,3.28,1.53,0.07,0.14,11.8,0,0,0,2.6,2.6,0.2,-1.6,-1.6,Matches
Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,5.1,1,10,3,30.0,1.97,0.59,0.1,0.33,19.8,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Stefan de Vrij, NED,DF,Inter,30,1992,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,0,1,0,0.0,0.32,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.03,0.0,0,Matches
Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,0.4,0,1,0,0.0,2.5,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Stephen Welsh, SCO,DF,Celtic,22,2000,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Wendell, BRA,DF,Porto,29,1993,1.6,0,2,1,50.0,1.26,0.63,0.0,0.0,25.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Timo Werner, GER,FW,RB Leipzig,26,1996,5.6,2,13,6,46.2,2.34,1.08,0.15,0.33,12.5,0,0,0,2.4,2.4,0.19,-0.4,-0.4,Matches
Owen Wijndal, NED,DF,Ajax,22,1999,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,5.1,0,1,0,0.0,0.19,0.0,0.0,,8.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,1.8,0,2,1,50.0,1.09,0.55,0.0,0.0,10.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Marius Wolf, GER,DF,Dortmund,27,1995,2.0,0,5,2,40.0,2.56,1.02,0.0,0.0,15.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Scott Wright, SCO,"FW,MF",Rangers,24,1997,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Roman Yaremchuk, UKR,FW,Club Brugge,26,1995,1.2,0,3,1,33.3,2.41,0.8,0.0,0.0,13.3,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
Rıdvan Yılmaz, TUR,DF,Rangers,21,2001,1.0,0,1,0,0.0,1.0,0.0,0.0,,31.8,0,0,0,0.0,0.0,0.01,0.0,0,Matches
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Denis Zakaria, SUI,MF,Chelsea,25,1996,0.8,1,1,1,100.0,1.22,1.22,1.0,1.0,16.4,0,0,0,0.1,0.1,0.13,0.9,0.9,Matches
Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,7.2,1,9,2,22.2,1.25,0.28,0.11,0.5,18.5,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Alessandro Zanoli, ITA,DF,Napoli,21,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Zeca, GRE,MF,FC Copenhagen,33,1988,1.8,0,2,0,0.0,1.12,0.0,0.0,,30.5,0,0,0,0.0,0.0,0.02,0.0,0,Matches
Alessio Zerbin, ITA,FW,Napoli,23,1999,0.6,0,2,2,100.0,3.21,3.21,0.0,0.0,26.2,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Piotr Zieliński, POL,MF,Napoli,28,1994,6.9,4,14,8,57.1,2.04,1.16,0.14,0.25,21.3,0,2,3,3.9,1.7,0.12,0.1,0.3,Matches
Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,1.6,0,12,5,41.7,7.3,3.04,0.0,0.0,21.1,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Oleksandr Zubkov, UKR,"FW,MF",Shakhtar,25,1996,4.1,2,8,3,37.5,1.97,0.74,0.25,0.67,17.2,0,0,0,1.0,1.0,0.13,1.0,1,
