Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Kristijan Jakić, CRO,DF,Eint Frankfurt,25,1997,6.8,0,2,0,0.0,0.29,0.0,0.0,,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,
Reece James, ENG,"DF,MF",Chelsea,22,1999,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,20.3,1,0,0,0.5,0.5,0.07,0.5,0.5,
Adnan Januzaj, BEL,"FW,MF",Sevilla,27,1995,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Luis Javier Suárez, COL,FW,Marseille,24,1997,1.3,0,4,1,25.0,3.16,0.79,0.0,0.0,13.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,
Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Václav Jemelka, CZE,DF,Viktoria Plzeň,27,1995,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,3.4,0,3,0,0.0,0.89,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,
Moritz Jenz, GER,DF,Celtic,23,1999,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,11.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,
Juan Jesus, BRA,DF,Napoli,31,1991,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,19.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,
Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,3.2,0,3,2,66.7,0.93,0.62,0.0,0.0,8.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,
Curtis Jones, ENG,"FW,MF",Liverpool,21,2001,1.1,0,3,0,0.0,2.7,0.0,0.0,,15.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,
Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Joan Jordán, ESP,MF,Sevilla,28,1994,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Jorginho, ITA,MF,Chelsea,30,1991,4.6,1,2,1,50.0,0.43,0.22,0.0,0.0,22.5,0,1,1,0.9,0.1,0.05,0.1,-0.1,
Jota, POR,FW,Celtic,23,1999,3.2,2,12,8,66.7,3.79,2.53,0.17,0.25,21.5,1,0,0,0.9,0.9,0.08,1.1,1.1,
Diogo Jota, POR,"FW,MF",Liverpool,25,1996,2.9,0,7,3,42.9,2.4,1.03,0.0,0.0,15.8,0,0,0,0.8,0.8,0.12,-0.8,-0.8,
Vinicius Júnior, BRA,FW,Real Madrid,22,2000,10.8,7,38,19,50.0,3.52,1.76,0.18,0.37,13.6,0,0,0,6.5,6.5,0.17,0.5,0.5,
Josip Juranović, CRO,DF,Celtic,26,1995,6.0,0,1,0,0.0,0.17,0.0,0.0,,36.6,0,0,1,0.8,0.0,0.03,-0.8,0,
Jutglà, ESP,FW,Club Brugge,23,1999,5.7,2,10,6,60.0,1.76,1.06,0.1,0.17,21.5,0,1,1,1.8,1.0,0.1,0.2,0,
