Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Marco Reus, GER,"MF,FW",Dortmund,33,1989,3,262,87.0,36.4,2.9,3,87.0,1,0,,1,1.0,4.0,4.0,0.0,0.0,-0.79,3.7,3.3,0.4,0.15,0.42
Gio Reyna, USA,"FW,MF",Dortmund,19,2002,6,383,64.0,53.2,4.3,3,70.0,0,3,58.0,1,1.0,5.0,3.0,2.0,0.47,-0.06,5.2,5.3,-0.1,-0.02,0.21
Richarlison, BRA,"MF,FW",Tottenham,25,1997,6,365,61.0,50.7,4.1,4,81.0,2,2,21.0,0,1.33,5.0,3.0,2.0,0.49,0.75,6.1,4.5,1.6,0.4,0.49
Sergio Rico, ESP,GK,Paris S-G,28,1993,0,,,,,0,,0,0,,8,,,,,,,,,,,
Mihailo Ristić, SRB,"DF,MF",Benfica,26,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,
Stefan Ristovski, MKD,DF,Dinamo Zagreb,30,1992,5,370,74.0,68.5,4.1,5,74.0,1,0,,0,1.42,4.0,9.0,-5.0,-1.22,-0.16,2.7,6.6,-3.9,-0.96,1.36
Mats Rits, BEL,MF,Club Brugge,29,1993,1,17,17.0,2.4,0.2,0,,0,1,17.0,1,0.0,1.0,1.0,0.0,0.0,0.38,0.2,0.1,0.1,0.39,1.54
Sergi Roberto, ESP,DF,Barcelona,30,1992,3,206,69.0,38.1,2.3,3,69.0,1,0,,0,1.33,4.0,4.0,0.0,0.0,0.0,3.9,1.5,2.4,1.04,1.52
Alexander Robertson, AUS,MF,Manchester City,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Andrew Robertson, SCO,DF,Liverpool,28,1994,5,378,76.0,52.5,4.2,4,89.0,2,1,23.0,1,1.2,10.0,10.0,0.0,0.0,-1.84,5.9,8.8,-2.9,-0.69,-2.53
Scott Robertson, SCO,MF,Celtic,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rochinha, POR,"MF,FW",Sporting CP,27,1995,1,18,18.0,3.3,0.2,0,,0,1,18.0,5,3.0,1.0,0.0,1.0,5.0,5.34,0.4,0.3,0.1,0.5,1.55
Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,6,299,50.0,41.5,3.3,3,71.0,0,3,29.0,1,1.67,3.0,6.0,-3.0,-0.9,-0.26,4.5,6.5,-2.1,-0.62,-0.02
Rodri, ESP,MF,Manchester City,26,1996,12,995,83.0,85.0,11.1,11,86.0,9,1,45.0,1,2.17,25.0,4.0,21.0,1.9,-1.19,20.6,9.8,10.8,0.98,-1.65
Rafael Rodrigues, POR,MF,Benfica,20,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rodrygo, BRA,FW,Real Madrid,21,2001,12,819,68.0,75.8,9.1,10,80.0,2,2,10.0,0,2.17,19.0,12.0,7.0,0.77,-1.3,16.3,13.2,3.2,0.35,-0.76
Cristian Romero, ARG,DF,Tottenham,24,1998,7,598,85.0,83.1,6.6,7,85.0,5,0,,0,1.29,4.0,6.0,-2.0,-0.3,-2.51,8.6,6.6,2.0,0.3,0.89
Valentin Rongier, FRA,MF,Marseille,27,1994,6,471,79.0,87.2,5.2,5,88.0,4,1,29.0,0,1.0,5.0,6.0,-1.0,-0.19,-1.5,6.9,4.5,2.3,0.45,-1.13
Tom Rothe, GER,DF,Dortmund,17,2004,3,61,20.0,8.5,0.7,1,45.0,0,2,8.0,4,2.33,1.0,1.0,0.0,0.0,-0.55,0.4,0.7,-0.3,-0.44,-0.35
Amir Rrahmani, KVX,DF,Napoli,28,1994,7,613,88.0,68.1,6.8,7,88.0,6,0,,0,2.29,18.0,4.0,14.0,2.06,0.8,18.5,8.2,10.3,1.51,0.91
Antonio Rüdiger, GER,DF,Real Madrid,29,1993,10,678,68.0,62.8,7.5,6,90.0,6,4,35.0,2,2.0,18.0,9.0,9.0,1.19,0.3,11.8,9.7,2.1,0.27,-0.7
Daniele Rugani, ITA,DF,Juventus,28,1994,1,90,90.0,16.7,1.0,1,90.0,1,0,,5,0.0,0.0,2.0,-2.0,-2.0,-1.6,0.5,0.8,-0.3,-0.27,0.07
